claim_id,loss_date,type,state,paid_usd
HIST-00001,2024-02-01,liability,FL,4328.51
HIST-00002,2024-02-22,glass,TX,10792.67
HIST-00003,2022-01-03,comprehensive,FL,9294.25
HIST-00004,2022-09-07,glass,PA,4279.75
HIST-00005,2024-05-26,collision,NY,12687.25
HIST-00006,2023-05-05,comprehensive,IL,2198.9
HIST-00007,2023-02-12,liability,NC,5055.57
HIST-00008,2022-12-15,glass,TX,17526.84
HIST-00009,2023-02-18,liability,NC,15983.95
HIST-00010,2023-10-07,collision,CA,12038.23
HIST-00011,2023-02-28,comprehensive,TX,7090.22
HIST-00012,2023-11-27,liability,NY,6915.19
HIST-00013,2022-11-09,collision,NC,11575.62
HIST-00014,2024-12-08,comprehensive,OH,7078.42
HIST-00015,2024-12-18,comprehensive,IL,15234.19
HIST-00016,2022-04-27,collision,IL,7460.5
HIST-00017,2022-04-19,liability,FL,11935.72
HIST-00018,2023-11-15,comprehensive,WA,2857.49
HIST-00019,2024-09-18,liability,NC,7940.44
HIST-00020,2024-07-12,comprehensive,NY,9367.66
HIST-00021,2022-01-28,collision,NY,11443.05
HIST-00022,2024-07-20,collision,PA,7116.5
HIST-00023,2023-09-09,glass,CA,12372.99
HIST-00024,2022-11-18,liability,IL,2363.32
HIST-00025,2023-03-15,collision,WA,17505.23
HIST-00026,2022-09-04,liability,GA,11117.88
HIST-00027,2022-06-25,comprehensive,GA,17181.6
HIST-00028,2024-01-20,liability,OH,742.79
HIST-00029,2023-05-08,collision,FL,15852.97
HIST-00030,2022-02-24,uninsured_motorist,TX,17612.53
HIST-00031,2024-03-05,uninsured_motorist,GA,3306.23
HIST-00032,2024-10-14,comprehensive,GA,13692.67
HIST-00033,2024-04-23,liability,PA,17914.63
HIST-00034,2024-06-15,glass,OH,2529.67
HIST-00035,2022-02-11,collision,NC,10149.02
HIST-00036,2024-04-01,collision,CA,4429.38
HIST-00037,2022-06-03,glass,FL,5301.2
HIST-00038,2023-04-18,comprehensive,NC,10541.33
HIST-00039,2022-08-26,uninsured_motorist,FL,2060.13
HIST-00040,2024-07-12,uninsured_motorist,PA,8619.63
HIST-00041,2024-01-22,collision,CA,7486.13
HIST-00042,2023-02-08,comprehensive,FL,9838.63
HIST-00043,2022-07-06,liability,OH,4796.59
HIST-00044,2022-08-26,glass,TX,1290.35
HIST-00045,2024-01-03,comprehensive,NY,7552.89
HIST-00046,2023-04-28,uninsured_motorist,CA,3297.61
HIST-00047,2022-07-09,uninsured_motorist,WA,7844.93
HIST-00048,2024-09-22,uninsured_motorist,NY,3742.2
HIST-00049,2022-01-19,glass,CA,13564.37
HIST-00050,2022-01-19,uninsured_motorist,GA,16581.21
HIST-00051,2024-03-02,glass,TX,15383.63
HIST-00052,2022-10-03,comprehensive,PA,2510.0
HIST-00053,2024-04-19,glass,CA,11301.11
HIST-00054,2023-11-19,glass,GA,5968.11
HIST-00055,2023-04-22,liability,FL,5074.82
HIST-00056,2022-11-21,liability,OH,5964.72
HIST-00057,2022-01-15,glass,NC,17931.3
HIST-00058,2022-09-07,glass,WA,2731.24
HIST-00059,2023-02-08,liability,WA,3176.34
HIST-00060,2024-12-10,glass,GA,537.69
HIST-00061,2024-05-22,collision,NY,5054.6
HIST-00062,2022-12-18,comprehensive,WA,5358.91
HIST-00063,2022-12-11,comprehensive,WA,9295.2
HIST-00064,2023-01-03,uninsured_motorist,WA,1175.93
HIST-00065,2023-03-21,liability,NY,13445.66
HIST-00066,2024-12-14,glass,CA,2368.98
HIST-00067,2024-03-18,collision,IL,10652.17
HIST-00068,2022-07-05,collision,WA,6817.87
HIST-00069,2022-06-07,comprehensive,TX,6624.74
HIST-00070,2024-07-20,comprehensive,FL,15617.06
HIST-00071,2022-07-01,comprehensive,IL,14170.0
HIST-00072,2023-11-28,comprehensive,WA,3201.88
HIST-00073,2024-02-13,collision,OH,4314.83
HIST-00074,2023-06-10,comprehensive,FL,816.49
HIST-00075,2022-07-11,liability,TX,17417.25
HIST-00076,2023-06-21,glass,PA,12359.52
HIST-00077,2024-06-01,collision,WA,3542.79
HIST-00078,2023-01-04,glass,PA,6484.09
HIST-00079,2023-07-20,glass,TX,7179.44
HIST-00080,2024-04-09,collision,PA,429.77
HIST-00081,2024-11-24,comprehensive,IL,7990.83
HIST-00082,2024-06-20,liability,TX,13067.68
HIST-00083,2023-09-10,uninsured_motorist,IL,7482.25
HIST-00084,2023-09-05,comprehensive,PA,12102.76
HIST-00085,2023-11-24,comprehensive,NC,10416.25
HIST-00086,2023-09-27,collision,WA,5449.68
HIST-00087,2023-10-20,liability,OH,8175.43
HIST-00088,2024-04-17,uninsured_motorist,NY,11995.77
HIST-00089,2023-09-22,glass,IL,2043.61
HIST-00090,2022-11-10,comprehensive,FL,2993.43
HIST-00091,2022-04-16,glass,TX,8415.32
HIST-00092,2024-10-07,uninsured_motorist,OH,7433.89
HIST-00093,2022-11-23,collision,TX,14100.2
HIST-00094,2022-03-26,glass,OH,1283.84
HIST-00095,2022-02-15,comprehensive,OH,12149.37
HIST-00096,2024-10-11,uninsured_motorist,NC,14744.11
HIST-00097,2024-07-27,glass,OH,16190.86
HIST-00098,2024-08-15,liability,FL,15181.59
HIST-00099,2023-09-16,comprehensive,WA,8141.76
HIST-00100,2024-05-08,liability,IL,6026.89
HIST-00101,2024-02-05,comprehensive,FL,7141.42
HIST-00102,2022-12-07,collision,PA,7573.75
HIST-00103,2024-08-14,collision,FL,15058.88
HIST-00104,2023-10-23,collision,NC,7094.71
HIST-00105,2022-06-10,uninsured_motorist,PA,9872.68
HIST-00106,2024-09-26,glass,FL,8992.84
HIST-00107,2023-07-16,collision,PA,6315.88
HIST-00108,2024-07-24,comprehensive,OH,16583.93
HIST-00109,2024-09-01,uninsured_motorist,NC,10333.3
HIST-00110,2022-02-21,uninsured_motorist,NY,15656.58
HIST-00111,2022-01-09,uninsured_motorist,IL,4125.22
HIST-00112,2023-06-25,uninsured_motorist,WA,13635.37
HIST-00113,2023-05-27,collision,OH,741.15
HIST-00114,2024-01-12,comprehensive,TX,14149.7
HIST-00115,2024-01-25,collision,FL,3908.75
HIST-00116,2022-10-05,comprehensive,NY,8734.67
HIST-00117,2022-10-07,uninsured_motorist,WA,13897.41
HIST-00118,2022-10-20,collision,NY,17379.09
HIST-00119,2022-10-01,liability,NC,12321.31
HIST-00120,2023-07-23,comprehensive,TX,10820.92
HIST-00121,2024-04-04,liability,NC,14577.29
HIST-00122,2024-01-12,glass,PA,12042.78
HIST-00123,2022-09-21,liability,CA,15352.53
HIST-00124,2023-02-14,liability,OH,12848.63
HIST-00125,2023-03-24,glass,WA,11240.06
HIST-00126,2024-08-15,uninsured_motorist,NC,5123.76
HIST-00127,2022-02-09,uninsured_motorist,FL,13608.38
HIST-00128,2024-10-22,uninsured_motorist,IL,905.12
HIST-00129,2023-03-16,comprehensive,IL,14441.85
HIST-00130,2023-05-20,liability,GA,578.66
HIST-00131,2022-02-08,uninsured_motorist,OH,10171.1
HIST-00132,2022-12-16,uninsured_motorist,OH,14355.62
HIST-00133,2022-05-08,uninsured_motorist,FL,5789.23
HIST-00134,2024-06-16,glass,GA,6450.13
HIST-00135,2024-09-11,liability,OH,5168.13
HIST-00136,2023-04-04,comprehensive,IL,2504.16
HIST-00137,2024-12-06,comprehensive,FL,13399.44
HIST-00138,2023-12-19,glass,NC,5380.78
HIST-00139,2022-04-10,comprehensive,IL,3558.17
HIST-00140,2022-12-18,comprehensive,WA,1201.08
HIST-00141,2022-09-10,comprehensive,OH,2205.54
HIST-00142,2022-10-10,uninsured_motorist,OH,8152.25
HIST-00143,2022-01-09,uninsured_motorist,TX,14869.24
HIST-00144,2023-08-03,glass,CA,3070.4
HIST-00145,2024-05-03,comprehensive,TX,10222.09
HIST-00146,2023-10-20,glass,FL,14052.21
HIST-00147,2023-08-15,liability,NC,17824.55
HIST-00148,2023-10-20,collision,NC,17297.91
HIST-00149,2022-04-21,comprehensive,WA,12023.54
HIST-00150,2022-04-06,glass,TX,3154.97
HIST-00151,2023-08-23,glass,OH,5526.16
HIST-00152,2022-05-23,liability,OH,1652.76
HIST-00153,2022-05-26,glass,FL,7882.45
HIST-00154,2024-04-21,comprehensive,WA,14948.71
HIST-00155,2022-01-06,liability,NC,13581.66
HIST-00156,2024-05-15,collision,OH,12520.73
