id,policyholder_id,loss_date,reported_date,loss_state,description,other_parties,estimate_usd,damage_area,severity,collision,comprehensive,deductible_usd,status,inception_date,exclusions,excluded_drivers,prior_claims_12mo,prior_claims_5yr,tenure_years,on_watch_list,siu_score,indicators,fraud_note
CLM-001,PH-4411,2024-03-14,2024-03-15,CA,"other driver ran red light, struck front of insured vehicle; other driver cited at scene",M. Torres — cited driver; carrier: Granite Auto Insurance; screening: clear,5510.50,front;interior,major,true,true,500,active,2018-05-20,,,0,0,6,false,0,,
CLM-002,PH-5198,2024-04-02,2024-04-03,CA,loss during timed lap at Willow Springs Raceway (sanctioned track day),,6535.60,front;side,major,true,true,1000,active,2021-02-11,EXCL-02 racing/timed events,,0,1,3,false,0,,
CLM-003,PH-3305,2024-06-18,2024-06-19,OR,"vehicle taken without owner's permission - policyholder had explicitly told the operator he was not allowed to drive it. Operator: T. Nguyen (19, valid license, relation=son, address=same as named insured). Rear-ended another car at a stop sign.",L. Pham — claimant (rear-ended party); screening: clear,1579.00,front,minor,true,true,500,active,2016-09-14,,,0,0,8,false,0,,
CLM-004,PH-6688,2024-07-21,2024-07-21,WA,two-vehicle intersection collision; other driver failed to yield and was cited at scene. Front-left damage.,J. Reyes — cited driver; carrier: Statewide Mutual; screening: internal Watch List match (ref WL-2231),2889.80,front,minor,true,true,500,active,2017-02-08,,,0,0,7,false,0,,
CLM-005,PH-7444,2024-06-22,2024-06-23,CO,"vehicle taken without owner's permission — policyholder had told the operator he could not use the car that night. Operator: D. Okafor (17, valid provisional license, relation=son, address=same as named insured). Struck a mailbox and fence post; front-right damage.",,2250.20,front,minor,true,true,500,active,2019-03-14,,"D. Okafor (household minor — named driver exclusion endorsement EXCL-DRV, signed 2024-01-15 by named insured; MVR on file)",0,1,5,false,0,,
CLM-006,PH-8877,2024-05-20,2024-06-29,IN,insured clipped the garage door frame while reversing out; rear-right quarter and bumper corner damage. Vehicle remained drivable. Insured gave no reason for the reporting delay when asked.,,653.00,rear,minor,true,true,500,active,2017-03-30,,,0,0,7,false,0,,FNOL snapshot only; re-score required at estimate review per §5.1
CLM-007,PH-3660,2024-05-08,2024-06-17,MD,insured backed into a concrete parking-garage column; rear bumper and rear body panel damage. Vehicle remained drivable. Insured gave no reason for the reporting delay when asked.,,1179.80,rear,minor,true,true,500,active,2018-04-22,,,1,4,6,false,0,,FNOL snapshot only; re-score required at estimate review per §5.1
CLM-008,PH-6250,2024-04-12,2024-05-19,WA,windshield and driver-side glass smashed and the head unit pried from the dash while the vehicle was parked at a trailhead; police report filed when the loss was reported. Insured gave no reason for the reporting delay when asked.,,1159.40,side,minor,true,true,250,active,2016-06-09,,,1,4,8,false,0,,FNOL snapshot only; re-score required at estimate review per §5.1
CLM-009,PH-6031,2024-06-03,2024-07-07,GA,insured's parked vehicle struck by an unknown vehicle in an apartment lot (hit-and-run); front-left damage; police report filed when the loss was reported. Insured gave no reason for the reporting delay when asked.,,1796.60,front,minor,true,true,500,active,2024-05-09,,,1,4,0,false,0,,FNOL snapshot only; re-score required at estimate review per §5.1
CLM-010,PH-3915,2024-05-28,2024-07-03,AZ,tailgate and both tail-lamp assemblies stolen from the insured's parked pickup overnight; police report filed when the loss was reported. Insured gave no reason for the reporting delay when asked.,,2571.40,rear,minor,true,true,500,active,2024-05-02,,,1,3,0,false,0,,FNOL snapshot only; re-score required at estimate review per §5.1
